1776052707.62203,"OFPMatch(oxm_fields={'eth_src': 'da:a3:09:f3:89:69', 'eth_dst': 'd2:e1:48:6f:c9:c2', 'in_port': 2})",3,294
1776052707.622096,"OFPMatch(oxm_fields={'eth_src': 'd2:e1:48:6f:c9:c2', 'eth_dst': 'da:a3:09:f3:89:69', 'in_port': 1})",2,196
1776052707.622116,OFPMatch(oxm_fields={}),4,252
1776052712.623237,"OFPMatch(oxm_fields={'eth_src': 'da:a3:09:f3:89:69', 'eth_dst': 'd2:e1:48:6f:c9:c2', 'in_port': 2})",9,826
1776052712.623331,"OFPMatch(oxm_fields={'eth_src': 'd2:e1:48:6f:c9:c2', 'eth_dst': 'da:a3:09:f3:89:69', 'in_port': 1})",8,728
1776052712.62336,OFPMatch(oxm_fields={}),5,322
1776052717.624179,"OFPMatch(oxm_fields={'eth_src': 'da:a3:09:f3:89:69', 'eth_dst': 'd2:e1:48:6f:c9:c2', 'in_port': 2})",14,1316
1776052717.624235,"OFPMatch(oxm_fields={'eth_src': 'd2:e1:48:6f:c9:c2', 'eth_dst': 'da:a3:09:f3:89:69', 'in_port': 1})",13,1218
1776052717.624252,OFPMatch(oxm_fields={}),5,322
1776052943.261374,"OFPMatch(oxm_fields={'eth_src': 'da:a3:09:f3:89:69', 'eth_dst': 'd2:e1:48:6f:c9:c2', 'in_port': 2})",14,1316
1776052943.261417,"OFPMatch(oxm_fields={'eth_src': 'd2:e1:48:6f:c9:c2', 'eth_dst': 'da:a3:09:f3:89:69', 'in_port': 1})",13,1218
1776052943.261433,OFPMatch(oxm_fields={}),5,322
1776052948.56846,"OFPMatch(oxm_fields={'eth_src': 'da:a3:09:f3:89:69', 'eth_dst': 'd2:e1:48:6f:c9:c2', 'in_port': 2})",14,1316
1776052948.568527,"OFPMatch(oxm_fields={'eth_src': 'd2:e1:48:6f:c9:c2', 'eth_dst': 'da:a3:09:f3:89:69', 'in_port': 1})",13,1218
1776052948.568547,OFPMatch(oxm_fields={}),5,322
1776053266.800355,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",6,588
1776053266.800396,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",3,294
1776053266.800415,OFPMatch(oxm_fields={}),5,378
1776053271.802794,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",12,1120
1776053271.802946,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",9,826
1776053271.802994,OFPMatch(oxm_fields={}),5,378
1776053276.813107,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",16,1512
1776053276.813133,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",13,1218
1776053276.813174,OFPMatch(oxm_fields={}),5,378
1776053281.815578,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",21,2002
1776053281.815612,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",18,1708
1776053281.815639,OFPMatch(oxm_fields={}),5,378
1776053286.827732,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",26,2492
1776053286.827794,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",23,2198
1776053286.827818,OFPMatch(oxm_fields={}),5,378
1776053291.92152,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",31,2982
1776053291.921551,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",28,2688
1776053291.92157,OFPMatch(oxm_fields={}),5,378
1776053296.93963,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",37,3514
1776053296.939663,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",34,3220
1776053296.939685,OFPMatch(oxm_fields={}),5,378
1776053301.953305,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",42,4004
1776053301.95336,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",39,3710
1776053301.953392,OFPMatch(oxm_fields={}),5,378
1776053306.957519,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",48,4536
1776053306.957546,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",45,4242
1776053306.957562,OFPMatch(oxm_fields={}),5,378
1776053311.975815,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",53,5026
1776053311.975917,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",50,4732
1776053311.975952,OFPMatch(oxm_fields={}),5,378
1776053317.120007,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",59,5558
1776053317.120034,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",56,5264
1776053317.12005,OFPMatch(oxm_fields={}),5,378
1776053322.369934,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",64,6048
1776053322.369964,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",61,5754
1776053322.369981,OFPMatch(oxm_fields={}),5,378
1776053327.370545,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",69,6538
1776053327.370616,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",66,6244
1776053327.370635,OFPMatch(oxm_fields={}),5,378
1776053332.380996,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",73,6930
1776053332.381028,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",70,6636
1776053332.381047,OFPMatch(oxm_fields={}),5,378
1776053337.431845,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",78,7420
1776053337.431894,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",75,7126
1776053337.431914,OFPMatch(oxm_fields={}),5,378
1776053342.522423,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",84,7952
1776053342.52249,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",81,7658
1776053342.522526,OFPMatch(oxm_fields={}),5,378
1776053347.62818,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",90,8484
1776053347.628208,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",87,8190
1776053347.628223,OFPMatch(oxm_fields={}),5,378
1776053352.637706,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",95,8974
1776053352.637738,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",92,8680
1776053352.637756,OFPMatch(oxm_fields={}),5,378
1776053357.643763,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",99,9366
1776053357.6438,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",96,9072
1776053357.643818,OFPMatch(oxm_fields={}),5,378
1776053362.652038,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",104,9856
1776053362.652083,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",101,9562
1776053362.652102,OFPMatch(oxm_fields={}),5,378
1776053367.716274,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",110,10388
1776053367.716306,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",107,10094
1776053367.716325,OFPMatch(oxm_fields={}),5,378
1776053372.733095,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",115,10878
1776053372.733127,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",112,10584
1776053372.733148,OFPMatch(oxm_fields={}),5,378
1776053377.867558,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",120,11368
1776053377.867588,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",117,11074
1776053377.867607,OFPMatch(oxm_fields={}),5,378
1776053382.929727,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",125,11858
1776053382.929753,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",122,11564
1776053382.929768,OFPMatch(oxm_fields={}),5,378
1776053387.935282,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",132,12432
1776053387.935314,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",129,12138
1776053387.935333,OFPMatch(oxm_fields={}),5,378
1776053392.961968,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",137,12922
1776053392.962002,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",134,12628
1776053392.962018,OFPMatch(oxm_fields={}),5,378
1776053398.072601,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",142,13412
1776053398.072627,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",139,13118
1776053398.072642,OFPMatch(oxm_fields={}),5,378
1776053403.078403,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",145,13706
1776053403.078435,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",142,13412
1776053403.078451,OFPMatch(oxm_fields={}),5,378
1776053408.085687,"OFPMatch(oxm_fields={'eth_src': '4a:f9:1d:08:9b:82', 'eth_dst': 'ca:70:6e:62:93:2a', 'in_port': 2})",150,14196
1776053408.08573,"OFPMatch(oxm_fields={'eth_src': 'ca:70:6e:62:93:2a', 'eth_dst': '4a:f9:1d:08:9b:82', 'in_port': 1})",147,13902
1776053408.085749,OFPMatch(oxm_fields={}),5,378
